Nama,Harga
INTEL CORE I3 12100,Rp1.866.000
INTEL CORE I9 14900KS,Rp12.590.000
AMD RYZEN 5 7600,Rp3.431.000
AMD RYZEN 7 7800X3D,Rp6.290.000
INTEL CORE I9 14900,Rp10.529.000
AMD RYZEN 5 7500F,Rp2.839.000
INTEL CORE I9 14900F,Rp10.029.000
INTEL CORE I3 10105T,Rp1.714.000
INTEL CORE I7 14700F,Rp6.459.000
INTEL CORE I7 14700,Rp6.719.000
INTEL CORE I5 14500,Rp4.309.000
INTEL CORE I5 14400F,Rp3.669.000
INTEL CORE I5 14400,Rp4.069.000
INTEL CORE I3 14100F,Rp2.059.000
INTEL CORE I3 14100,Rp2.509.000
INTEL CORE I5 14600K,Rp5.459.000
INTEL CORE I5 14600KF,Rp5.179.000
INTEL CORE I7 14700KF,Rp6.789.000
INTEL CORE I7 14700K,Rp7.529.000
INTEL CORE I9 14900KF,Rp9.519.000
INTEL CORE I9 14900K,Rp10.539.000
INTEL CORE I5 13400F,Rp3.168.000
INTEL CORE I5 13400,Rp3.590.000
INTEL CORE I7 13700,Rp6.625.000
INTEL CORE I5 13500,Rp4.389.000
INTEL CORE I5 13400F,Rp3.269.000
INTEL CORE I3 13100F,Rp2.029.000
INTEL CORE I3 13100,Rp2.459.000
INTEL CORE I7 13700F,Rp6.285.000
INTEL CORE I5 13400,Rp3.789.000
INTEL CORE I9 13900K,Rp10.491.000
INTEL CORE I7 13700KF,Rp6.619.000
INTEL CORE I7 13700K,Rp6.990.000
INTEL CORE I5 13600KF,Rp5.049.000
INTEL CORE I5 13600K,Rp5.575.000
INTEL CORE I5 12400F,Rp2.202.000
INTEL CORE I5 8500,Rp1.043.000
INTEL CORE I3 12100,Rp1.919.000
INTEL CORE I5 12400,Rp2.515.000
INTEL CORE I9 12900F,Rp7.889.000
INTEL CORE I3 9100,Rp1.179.000
INTEL CORE I5 12400F,Rp2.209.000
INTEL CORE I5 12400,Rp2.609.000
INTEL CORE I3 12100F,Rp1.519.000
INTEL CORE I7 12700F,Rp4.190.000
INTEL PENTIUM G3260,Rp76.000
INTEL CORE I9 12900KF,Rp7.039.000
INTEL CORE I5 12600K,Rp3.945.000
INTEL CORE I7 12700KF,Rp4.749.000
INTEL CORE I5 12600KF,Rp3.580.000
INTEL CORE I3 10105,Rp1.729.000
INTEL CORE I3 10105F,Rp1.225.000
INTEL CORE I3 8100,Rp697.000
INTEL CORE I5 7400,Rp765.000
INTEL CORE I5 7500,Rp786.000
INTEL CORE I7 8700,Rp1.997.000
INTEL CORE I5 10400F,Rp1.679.000
INTEL CORE I5 10400,Rp2.219.000
INTEL CORE I5 6600,Rp576.000
INTEL CORE I3 3240,Rp136.000
INTEL CORE I5 4460,Rp350.000
INTEL PENTIUM G3250,Rp70.000
INTEL CORE I5 2400,Rp201.000
INTEL CORE I5 3570,Rp282.000
INTEL CORE I5 6500,Rp586.000
INTEL CORE I7 4790,Rp775.000
INTEL CORE I3 2120,Rp98.000
INTEL PENTIUM G2030,Rp130.000
INTEL CORE 2 DUO E8500,Rp87.000
INTEL PENTIUM G4400,Rp201.000
AMD RYZEN 5 7600X,Rp3.699.000
INTEL CORE I3 12100F,Rp1.447.000
INTEL CORE I5 9500,Rp1.525.000
INTEL CORE I3 7100T,Rp350.000
INTEL CORE I9 13900KS,Rp12.291.000
INTEL CORE I5 10400F,Rp1.530.000
INTEL CORE I9 13900F,Rp9.770.000
INTEL CORE I9 13900,Rp10.409.000
INTEL CORE I3 10100,Rp1.740.000
INTEL CORE I9 13900KF,Rp10.029.000
INTEL CORE I7 12700F,Rp4.585.000
INTEL CORE I7 12700KF,Rp5.822.000
INTEL CORE I7 12700,Rp4.853.000
INTEL CORE I5 11400,Rp2.328.000
INTEL CORE I9 12900KS,Rp9.018.000
INTEL CORE I5 10400,Rp2.149.000
INTEL CORE I3 9100T,Rp1.494.000
INTEL CORE I5 9400,Rp1.604.000
INTEL CORE I5 7600,Rp922.000
INTEL CORE I5 11600K,Rp3.080.000
INTEL CORE I3 10105,Rp1.719.000
INTEL PENTIUM GOLD G7400,Rp1.571.000
INTEL CELERON G6900,Rp1.179.000
INTEL CORE I7 12700,Rp4.699.000
INTEL CORE I5 12600,Rp4.369.000
INTEL CORE I9 12900,Rp8.172.000
INTEL PENTIUM GOLD G6400,Rp1.174.000
INTEL CORE I5 12500,Rp3.833.000
INTEL CORE I5 11400,Rp2.328.000
INTEL CORE I9 12900K,Rp7.409.000
INTEL CORE I7 11700K,Rp5.214.000
INTEL PENTIUM GOLD G5420,Rp1.546.000
INTEL CORE I7 10700,Rp3.224.000
INTEL CORE I7 11700F,Rp4.369.000
INTEL CORE I5 11400F,Rp2.275.000
INTEL CORE I7 11700F,Rp4.503.000
INTEL CORE I7 11700,Rp3.431.000
INTEL CORE I5 10400F,Rp1.530.000
INTEL CORE I5 10400,Rp1.908.000
INTEL PENTIUM GOLD G6405,Rp838.000
INTEL CORE I5 11500,Rp3.203.000
INTEL CORE I5 11400F,Rp2.113.000
INTEL CORE I3 10105F,Rp994.000
INTEL PENTIUM GOLD G6405,Rp1.331.000
INTEL CORE I5 8400,Rp1.106.000
INTEL CORE I9 11900KF,Rp7.616.000
INTEL CORE I5 11500,Rp3.936.000
INTEL CORE I5 11600,Rp4.348.000
INTEL CORE I7 11700,Rp4.358.000
INTEL CORE I9 11900K,Rp8.111.000
INTEL CORE I5 11400,Rp2.590.000
INTEL CORE I9 11900,Rp8.101.000
INTEL CORE I9 11900F,Rp7.627.000
INTEL CORE I5 11600KF,Rp4.111.000
INTEL CORE I7 11700KF,Rp5.967.000
INTEL CORE I5 11600K,Rp4.616.000
INTEL CORE I7 11700K,Rp5.291.000
INTEL CORE I3 10100,Rp1.740.000
INTEL CORE I7 3770,Rp759.000
INTEL CORE I5 4670K,Rp1.076.000
INTEL PENTIUM G3440,Rp274.000
INTEL PENTIUM G3450,Rp284.000
INTEL CORE I9 10900K,Rp7.853.000
INTEL PENTIUM GOLD G5400,Rp807.000
INTEL CORE I7 7700,Rp1.599.000
INTEL CORE I9 10900F,Rp7.070.000
INTEL CORE I3 10100F,Rp1.399.000
INTEL CORE I9 10850K,Rp7.142.000
INTEL CORE I5 10600KF,Rp3.606.000
INTEL CORE I9 10900X,Rp10.472.000
INTEL CORE I7 10700KF,Rp5.657.000
INTEL CORE I7 10700F,Rp3.740.000
INTEL CORE I9 10900,Rp7.534.000
INTEL CORE I5 10600K,Rp4.132.000
INTEL CORE I9 10920X,Rp12.224.000
INTEL PENTIUM GOLD G6400,Rp1.331.000
INTEL CORE I3 10100,Rp1.908.000
INTEL CORE I7 10700K,Rp6.173.000
INTEL CORE I7 10700,Rp4.070.000
INTEL CORE I5 10600,Rp4.348.000
INTEL CORE I5 10500,Rp3.936.000
INTEL CORE I7 6700,Rp1.258.000
INTEL CORE I3 9100,Rp1.913.000
INTEL CORE I9 9900,Rp5.729.000
INTEL CORE 2 DUO E7500,Rp76.000
INTEL CORE I5 9500F,Rp2.606.000
INTEL PENTIUM GOLD G5420,Rp1.065.000
INTEL PENTIUM G3420,Rp81.000
INTEL CORE I7 9700KF,Rp4.698.000
INTEL CORE I7 9700,Rp4.698.000
INTEL CORE I5 9500,Rp3.036.000
INTEL CORE I7 9700F,Rp4.491.000
INTEL CORE I9 9900KF,Rp6.192.000
INTEL CORE I5 9400,Rp2.653.000
INTEL PENTIUM G3220,Rp70.000
INTEL CORE I5 4670,Rp392.000
INTEL CORE I5 9600KF,Rp3.040.000
INTEL CORE I3 2130,Rp119.000
INTEL CORE I5 4690,Rp419.000
INTEL CORE I3 9100F,Rp1.578.000
INTEL CORE I7 2600,Rp560.000
INTEL CORE I3 4150,Rp266.000
INTEL XEON E3 1230V6,Rp4.338.000
INTEL CORE I5 6400,Rp744.000
INTEL CORE I5 2500,Rp206.000
INTEL CORE I3 4160,Rp130.000
INTEL CORE I3 4130,Rp261.000
INTEL CORE I3 7100,Rp350.000
INTEL CORE I3 2100,Rp206.000
INTEL CORE I3 3220,Rp130.000
INTEL PENTIUM G3240,Rp54.000
INTEL CORE I7 4770,Rp691.000
INTEL CORE I5 4590,Rp408.000
INTEL CORE I3 3250,Rp1.126.000
INTEL CORE I3 4170,Rp147.000
INTEL CORE I5 3470,Rp272.000
INTEL CORE I5 4570,Rp345.000
INTEL PENTIUM G2020,Rp86.000
INTEL CORE I5 9600K,Rp3.683.000
INTEL CORE I5 9400F,Rp2.391.000
INTEL CORE I9 9900K,Rp6.553.000
INTEL CORE I7 9700K,Rp5.058.000
INTEL CORE I5 8500,Rp2.589.000
INTEL CORE I5 8600,Rp2.690.000
INTEL PENTIUM GOLD G5400,Rp1.487.000
INTEL CORE 2 DUO E8400,Rp87.000
INTEL CORE I5 8400,Rp2.660.000
INTEL CORE I3 8100,Rp1.995.000
INTEL CORE I7 8700,Rp4.415.000
INTEL CORE I3 8350K,Rp1.751.000
INTEL CORE I5 8600K,Rp3.584.000
INTEL CORE I7 8700K,Rp6.141.000
INTEL PENTIUM G4600,Rp1.136.000
INTEL CORE I3 6100,Rp319.000
INTEL PENTIUM G4560,Rp377.000
INTEL PENTIUM G4560,Rp1.010.000
INTEL CORE I3 7100,Rp2.123.000
INTEL CORE I5 7400,Rp2.071.000
INTEL CORE I7 7700K,Rp5.075.000
INTEL CORE I7 7700,Rp4.618.000
INTEL CORE I5 7600K,Rp3.081.000
INTEL CORE I5 7600,Rp3.345.000
INTEL CORE I5 7500,Rp3.137.000
INTEL PENTIUM G3260,Rp1.090.000
INTEL XEON E3 1230V5,Rp4.333.000
INTEL CORE I5 4460,Rp2.700.000
INTEL CORE I3 4170,Rp2.080.000
INTEL PENTIUM G3250,Rp910.000
INTEL PENTIUM G4400,Rp938.000
INTEL CORE I3 6100,Rp1.541.000
INTEL CORE I5 6400,Rp2.448.000
INTEL CORE I5 6500,Rp2.760.000
INTEL CORE I5 6600,Rp2.969.000
INTEL CORE I5 6600K,Rp3.096.000
INTEL CORE I7 6700,Rp4.279.000
INTEL CORE I7 6700K,Rp4.629.000
AMD RYZEN THREADRIPPER 7960X,Rp27.740.000
AMD RYZEN 5 4600G,Rp1.645.000
AMD RYZEN THREADRIPPER 7980X,Rp96.440.000
AMD RYZEN THREADRIPPER 7970X,Rp47.900.000
AMD RYZEN THREADRIPPER PRO 7965WX,Rp51.529.000
AMD RYZEN THREADRIPPER PRO 7975WX,Rp73.889.000
AMD RYZEN THREADRIPPER PRO 5995WX,Rp96.900.000
AMD RYZEN 5 5500GT,Rp2.149.000
AMD RYZEN 7 8700G,Rp5.659.000
AMD RYZEN 5 8600G,Rp3.969.000
AMD RYZEN 5 8500G,Rp3.150.000
AMD RYZEN 5 5600GT,Rp2.410.000
AMD RYZEN 7 5700X3D,Rp4.329.000
AMD RYZEN 7 5700,Rp2.980.000
AMD ATHLON 3000G,Rp690.000
AMD RYZEN 7 7800X3D,Rp6.309.000
AMD RYZEN 9 7950X3D,Rp10.290.000
AMD RYZEN 9 7900X3D,Rp8.059.000
AMD RYZEN 7 5700X,Rp2.684.000
AMD RYZEN 9 7900,Rp6.699.000
AMD RYZEN 5 7600,Rp3.409.000
AMD RYZEN 7 7700,Rp5.519.000
AMD RYZEN 3 4300G,Rp1.509.000
AMD RYZEN 9 7950X,Rp9.490.000
AMD RYZEN 9 7900X,Rp6.799.000
AMD RYZEN 7 7700X,Rp5.679.000
AMD RYZEN 5 7600X,Rp3.729.000
AMD RYZEN 5 5600,Rp1.950.000
AMD RYZEN 3 4100,Rp1.163.000
AMD RYZEN 5 4500,Rp1.279.000
AMD RYZEN 7 5700X,Rp2.859.000
AMD RYZEN 5 5600,Rp2.049.000
AMD RYZEN 5 5500,Rp1.509.000
AMD RYZEN 5 5600G,Rp2.086.000
AMD RYZEN 5 5600G,Rp2.059.000
AMD RYZEN 7 5700G,Rp2.979.000
AMD RYZEN 9 5950X,Rp7.619.000
AMD RYZEN 5 5600X,Rp2.549.000
AMD RYZEN 7 5800X,Rp4.250.000
AMD RYZEN 7 5800X,Rp4.120.000
AMD RYZEN 9 5900X,Rp5.780.000
AMD RYZEN 3 3200G,Rp1.225.000
AMD GODAVARI A6 7480,Rp471.000
AMD BRISTOL RIDGE A8 9600,Rp765.000
AMD RYZEN 5 7500F,Rp2.839.000
AMD RYZEN 9 7900X,Rp6.900.000
AMD RYZEN 5 4500,Rp1.141.000
AMD RYZEN 5 4500,Rp1.279.000
AMD RYZEN 5 5600,Rp2.139.000
AMD RYZEN 5 5500,Rp1.508.000
AMD RYZEN 7 5700X,Rp2.899.000
AMD RYZEN 5 5500,Rp1.550.000
AMD RYZEN 5 4600G,Rp1.655.000
AMD RYZEN 3 PRO 4350G,Rp1.341.000
AMD RYZEN 7 5700G,Rp3.120.000
AMD ATHLON 3000G,Rp822.000
AMD RYZEN 7 5800X3D,Rp5.879.000
AMD RYZEN 3 4100,Rp1.152.000
AMD RYZEN 5 4500,Rp1.635.000
AMD RYZEN 5 5600X,Rp3.428.000
AMD RYZEN 5 3600,Rp1.729.000
AMD RYZEN 5 PRO 4650G,Rp1.603.000
AMD RYZEN 7 5700G,Rp3.348.000
AMD RYZEN 5 5600G,Rp2.160.000
AMD RYZEN 9 5900X,Rp5.699.000
AMD RYZEN 7 3700X,Rp5.380.000
AMD RYZEN 5 5600X,Rp2.422.000
AMD RYZEN 5 3500X,Rp2.740.000
AMD RYZEN 5 3600,Rp2.034.000
AMD RYZEN 5 3500,Rp2.611.000
AMD RYZEN 3 3300X,Rp2.221.000
AMD RYZEN 5 3400G,Rp2.675.000
AMD RYZEN 5 3600,Rp2.684.000
AMD RYZEN 5 3500X,Rp2.740.000
