Nama,Harga
PSU MSI MAG A1250GL PCIE5 1250W 80 PLUS GOLD FULL MODULAR,Rp3.249.000
ENERMAX CYBERBRON II 600W 80 PLUS BRONZE FLAT CABLE,Rp833.000
ENERMAX REVOLUTION DF 12 WHITE 850W 80 PLUS GOLD,Rp2.139.000
ENERMAX REVOLUTION DF 12 850W 80 PLUS GOLD,Rp2.018.000
ENERMAX REVOLUTION DF 12 750W 80 PLUS GOLD,Rp1.824.000
PSU GIGABYTE GP UD850GM PG5W WHITE 850W 80 PLUS GOLD,Rp2.029.000
ASUS ROG STRIX 1000W GOLD AURA FULLY MODULAR,Rp3.880.000
PSU DEEPCOOL PL750D 750W NATIVE ATX30 80 PLUS BRONZE,Rp981.000
PSU SUPER FLOWER ZILLION DB 650W SF 650Z12DB,Rp791.000
PSU SUPER FLOWER ZILLION DB 550W,Rp699.000
PSU SUPER FLOWER LEGION GX PRO 750W,Rp1.285.000
PSU SUPER FLOWER LEADEX VII PLATINUM PRO 850W,Rp2.504.000
PSU SUPER FLOWER LEADEX VII PLATINUM PRO 1200W,Rp3.312.000
PSU SUPER FLOWER LEADEX VII PLATINUM PRO 1000W,Rp2.807.000
PSU SUPER FLOWER LEGION HX 650W,Rp1.161.000
CORSAIR HXI SERIES 1500W 80 PLUS PLATINUM,Rp6.039.000
ASUS ROG THOR 1200W P2 FULLY MODULAR,Rp5.905.000
PSU BE QUIET DARK POWER PRO 13 1300W MODULAR TITANIUM PCIE,Rp7.050.000
COOLER MASTER ELITE NEX PN500 PEAK POWER SUPPLY,Rp555.000
COOLER MASTER XG750 80 PLUS PLATINUM,Rp2.683.000
DIGITAL ALLIANCE GAMING PSU 500W 80 PLUS GOLD,Rp723.000
PSU FSP HYDRO TI PRO 1000W ATX30 PCIE50 80 PLUS TITANIUM,Rp4.338.000
DEEPCOOL 850W,Rp1.588.000
AEROCOOL LUX 650W 80 PLUS BRONZE,Rp665.000
CORSAIR CX SERIES 750W,Rp1.064.000
BE QUIET DARK POWER PRO 13 1600W FULL MODULAR PCIE,Rp7.706.000
BE QUIET STRAIGHT POWER 12 850W FULL MODULAR PCIE,Rp2.959.000
BE QUIET STRAIGHT POWER 12 750W FULL MODULAR PCIE,Rp2.656.000
PCCOOLER PSU KF450 450W 80 PLUS WHITE ACTIVE PFC FLAT CABLES,Rp419.000
PCCOOLER PSU KF750 750W 80 PLUS WHITE ACTIVE PFC FLAT CABLES,Rp581.000
POWER UP 600 WATT,Rp157.000
FIRST PLAYER NGDP ATX HA 1000BA4 80 PLUS GOLD FULL MODULAR,Rp2.201.000
ASUS TUF GAMING 850W,Rp2.443.000
ANTEC NEOECO GOLD MODULAR 850W,Rp2.201.000
ANTEC NEOECO GOLD MODULAR 1000W WHITE NE1000G M PCIE 80 PLUS GOLD FULL,Rp2.656.000
ANTEC NEOECO GOLD MODULAR 1000W,Rp2.555.000
ANTEC META V550,Rp406.000
ZALMAN GIGAMAX III 850W 80 PLUS BRONZE PCIE SEMI MODULAR,Rp1.048.000
ZALMAN GIGAMAX III 750W 80 PLUS BRONZE PCIE SEMI MODULAR,Rp969.000
ZALMAN TERAMAX II WHITE 750W 80 PLUS GOLD PCIE FULL MODULAR,Rp1.760.000
FIRST PLAYER SFX 850W PS 850SFX 80 PLUS GOLD,Rp2.029.000
FIRST PLAYER SFX 750W WHITE PS 750SFX 80 PLUS PLATINUM FULL MO,Rp1.898.000
FIRST PLAYER SFX 750W PS 750SFX 80 PLUS PLATINUM FULL MODULAR,Rp1.848.000
FIRST PLAYER SFX 650W PS 650SFX 80 PLUS GOLD,Rp1.696.000
FIRST PLAYER NGDP ATX 1300W WHITE HA 1300BA3 80 PLUS PLATINUM,Rp3.464.000
FIRST PLAYER NGDP ATX 1300W HA 1300BA3 80 PLUS PLATINUM,Rp3.363.000
FIRST PLAYER NGDP ATX 1000W WHITE HA 1000BA3 80 PLUS PLATINUM,Rp2.656.000
FIRST PLAYER NGDP ATX 1000W HA 1000BA3 80 PLUS PLATINUM,Rp2.555.000
FIRST PLAYER BLACK SIR 500W SR 500 STANDARD 80 PLUS CERTIFIED,Rp462.000
PARADOX GAMING PSU NEPTUNE 700W 80 PLUS BRONZE,Rp639.000
PARADOX GAMING PSU NEPTUNE 500W 80 PLUS BRONZE,Rp544.000
ASUS ROG LOKI SFX L 750W,Rp3.080.000
NZXT C750 750W,Rp1.729.000
NZXT C1000 1000W,Rp2.559.000
POWERLOGIC ARMAGGEDDON VOLTRON BRONZE 350 WATT,Rp408.000
ASUS PRIME 850W ATX 80 PLUS GOLD FULLY MODULAR,Rp2.076.000
SEASONIC VERTEX PX 850 FULL MODULAR,Rp3.161.000
MSI MAG A850GL PCIE5 WHITE 850W 80 PLUS GOLD FULL MODULAR,Rp1.940.000
COOLER MASTER ELITE NEX W500 80 PLUS WHITE,Rp676.000
COOLER MASTER XG850 80 PLUS PLATINUM,Rp3.060.000
MONTECH GAMMA II 550W 80 PLUS GOLD FLAT CABLES,Rp1.127.000
MONTECH CENTURY MINI 750W 80 PLUS GOLD SFX FULL MODULAR,Rp1.887.000
MONTECH CENTURY 650W 80 PLUS GOLD FULL MODULAR,Rp1.509.000
MONTECH CENTURY 850W 80 PLUS GOLD FULL MODULAR,Rp1.793.000
MONTECH CENTURY G5 750W 80 PLUS GOLD ATX FULL MODULAR,Rp1.793.000
MONTECH CENTURY G5 850W 80 PLUS GOLD ATX FULL MODULAR,Rp1.898.000
ENERMAX REVOLUTION DFX 850W 80 PLUS GOLD ATX PCIE FULL MODULAR,Rp1.929.000
ENERMAX REVOLUTION DFX 1050W 80 PLUS GOLD ATX PCIE FULL MODULAR,Rp2.259.000
ENERMAX REVOLUTION DFX 1200W 80 PLUS GOLD ATX PCIE FULL MODULAR,Rp2.690.000
SUPER FLOWER MEGA SERIES 500W,Rp611.000
PSU MSI MAG A650GL 650W 80 PLUS GOLD FULL MODULAR,Rp1.499.000
DEEPCOOL 450W,Rp499.000
ANTEC NEOECO GOLD MODULAR NE850G M 80 PLUS GOLD,Rp1.898.000
ANTEC HIGH CURRENT GAMER HCG1000 80 PLUS GOLD,Rp2.807.000
SEASONIC VERTEX GX 850 FULLY MODULAR,Rp2.757.000
SEASONIC VERTEX GX 750 FULLY MODULAR,Rp2.656.000
SEASONIC VERTEX GX 1200 FULLY MODULAR,Rp3.767.000
SEASONIC VERTEX GX 1000 FULLY MODULAR,Rp3.262.000
MSI MAG A850GL PCIE5 850W 80 PLUS GOLD FULL MODULAR,Rp1.814.000
ASUS ROG STRIX 850W GOLD AURA EDITION FULLY MODULAR,Rp3.345.000
CORSAIR SF L SERIES 850W FULL MODULAR,Rp2.469.000
CORSAIR SF L SERIES SF1000L FULL MODULAR,Rp2.868.000
ASUS TUF GAMING 750W 80 PLUS GOLD,Rp2.212.000
CORSAIR RM750E ATX FULL MODULAR,Rp1.966.000
CORSAIR RM850E ATX FULL MODULAR,Rp2.155.000
CORSAIR RM1000E ATX FULL MODULAR,Rp3.121.000
BE QUIET SYSTEM POWER 10 U 850W,Rp1.644.000
BE QUIET SYSTEM POWER 10 U 750W,Rp1.182.000
BE QUIET SYSTEM POWER 10 U 550W,Rp894.000
BE QUIET PURE POWER 12 M 850W,Rp2.252.000
BE QUIET PURE POWER 12 M 750W,Rp1.999.000
BE QUIET PURE POWER 12 M 650W,Rp1.670.000
SUPER FLOWER LEADEX VII GOLD 1300W SF 1300F14XG MODULAR PCIE,Rp3.363.000
CUBE GAMING RHINO 500W,Rp370.000
SUPER FLOWER LEADEX PLATINUM 1600W SF 1600F14HP FULL MODULAR PCIE,Rp4.171.000
SUPER FLOWER LEADEX III GOLD ARGB 850W,Rp1.999.000
SUPER FLOWER LEADEX III GOLD ARGB 750W,Rp1.797.000
SUPER FLOWER LEADEX III GOLD ARGB 750W,Rp1.797.000
BE QUIET DARK POWER 13 850W FULLY MODULAR,Rp3.868.000
BE QUIET DARK POWER 13 750W FULLY MODULAR,Rp3.262.000
CORSAIR RMX SHIFT SERIES 1200W ATX 80 PLUS GOLD,Rp3.781.000
CORSAIR RMX SHIFT SERIES 1000W ATX 80 PLUS GOLD,Rp3.286.000
CORSAIR RMX SHIFT SERIES 850W ATX 80 PLUS GOLD,Rp2.438.000
CORSAIR 600W PCIE 12VHPWR TYPE 4 PSU POWER CABLE,Rp313.000
FRACTAL ION 750W 80 PLUS GOLD,Rp1.389.000
FIRST PLAYER DK PREMIUM PS 800AX 80 PLUS BRONZE JAPANESE CAPACITOR,Rp873.000
FIRST PLAYER ARMOUR 750W GAMING PSU,Rp1.099.000
CUBE GAMING CG 450 450W,Rp178.000
PCCOOLER PSU 400W NP400W,Rp239.000
SEASONIC PRIME TITANIUM TX 1600,Rp8.615.000
SEASONIC PRIME TITANIUM TX 1300,Rp7.605.000
LIAN LI SP850 WHITE SFX SERIES,Rp2.201.000
LIAN LI SP850 BLACK SFX SERIES,Rp2.201.000
FRACTAL DESIGN ION PLUS 2 760W 80 PLUS PLATINUM,Rp1.865.000
FRACTAL DESIGN ION PLUS 2 660W 80 PLUS PLATINUM,Rp1.655.000
ANTEC SIGNATURE SERIES 1300W PLATINUM SP1300 PLATINUM,Rp4.322.000
ANTEC SIGNATURE SERIES 1000W TITANIUM ST1000 TITANIUM,Rp4.575.000
ANTEC SIGNATURE SERIES 1000W PLATINUM SP1000 PLATINUM,Rp3.767.000
DEEPCOOL 500W,Rp561.000
MSI MEG AI1300P PCIE5 1300W 80 PLUS PLATINUM FULL MODULAR,Rp5.069.000
PRIME PREMIUM 850W,Rp1.490.000
CORSAIR RME SERIES 1000W FULL MODULAR,Rp3.065.000
