Nama,Harga
CRUCIAL SODIMM DDR5 PC44800 5600MHZ 32GB,Rp1.956.000
CRUCIAL SODIMM DDR5 PC41600 5200MHZ 8GB,Rp484.000
KINGSTON SODIMM DDR5 8GB,Rp589.000
VGEN PLATINUM SODIMM DDR5 8GB,Rp456.000
CORSAIR VENGEANCE SODIMM DDR5 PC44800 32GB,Rp2.269.000
CRUCIAL SODIMM DDR4 PC25600 3200MHZ 32GB,Rp1.267.000
TEAM ELITE SODIMM DDR5 PC44800 5600MHZ 16GB,Rp917.000
CORSAIR VENGEANCE SODIMM DDR5 PC38400,Rp1.664.000
CORSAIR VENGEANCE SODIMM DDR5 PC38400 16GB,Rp1.168.000
CRUCIAL SODIMM DDR5 PC41600 5200MHZ 16GB,Rp970.000
VGEN PLATINUM SODIMM DDR5 8GB,Rp498.000
TEAM ELITE SODIMM DDR5 PC41600 5200MHZ 32GB,Rp1.632.000
TEAM ELITE SODIMM DDR5 PC41600 5200MHZ 16GB,Rp860.000
TRANSCEND JETRAM SODIMM DDR5 PC38400 4800MHZ 32GB,Rp1.413.000
VGEN PLATINUM SODIMM DDR5 16GB,Rp879.000
KLEVV SODIMM DDR4 VALUE PC25600 32GB,Rp1.048.000
KINGSTON SODIMM DDR4 32GB,Rp1.251.000
KINGSTON SODIMM DDR4 16GB,Rp594.000
GSKILL RIPJAWS SODIMM DDR5 PC38400 32GB,Rp2.075.000
TEAM ELITE SODIMM DDR5 PC38400 4800MHZ 32GB,Rp1.544.000
TEAM ELITE SODIMM DDR5 PC38400 4800MHZ 8GB,Rp458.000
CORSAIR VENGEANCE SODIMM DDR5 PC38400 16GB,Rp912.000
KLEVV SODIMM DDR5 VALUE SERIES PC44800 5600MHZ 16GB,Rp873.000
TRANSCEND JETRAM SODIMM DDR4 PC25600 3200MHZ 4GB,Rp241.000
KINGSTON SODIMM DDR5 8GB,Rp563.000
KINGSTON SODIMM DDR4 4GB,Rp315.000
KLEVV SODIMM DDR4 VALUE SERIES PC25600 8GB,Rp318.000
KLEVV SODIMM DDR4 VALUE SERIES PC25600 16GB,Rp555.000
CORSAIR VENGEANCE SODIMM DDR5 PC38400 32GB,Rp1.768.000
CRUCIAL SODIMM DDR4 PC25600 3200MHZ 8GB,Rp367.000
KINGSTON FURY IMPACT SODIMM DDR4 16GB,Rp708.000
VGEN PLATINUM SODIMM DDR4 4GB,Rp216.000
KINGSTON SODIMM DDR4 16GB,Rp685.000
GSKILL SODIMM DDR4 PC25600 16GB,Rp569.000
VENOMRX SODIMM DDR4 PC21000 4GB,Rp154.000
KINGSTON SODIMM DDR4 8GB,Rp379.000
CORSAIR SODIMM DDR4 8GB,Rp463.000
CORSAIR SODIMM DDR4 32GB,Rp1.377.000
VGEN PLATINUM SODIMM DDR4 8GB,Rp318.000
LEXAR SODIMM DDR4 PC25600 3200MHZ 16GB,Rp562.000
LEXAR SODIMM DDR4 PC25600 3200MHZ 8GB,Rp325.000
VGEN PLATINUM SODIMM DDR4 32GB,Rp1.176.000
TRANSCEND JETRAM SODIMM DDR4 PC25600 3200MHZ 32GB,Rp1.184.000
TEAM ELITE SODIMM DDR4 PC25600 32GB,Rp1.158.000
CORSAIR SODIMM DDR4 32GB,Rp1.481.000
VGEN RESCUE SODIMM DDR4 4GB,Rp187.000
VGEN RESCUE SODIMM DDR4 4GB,Rp198.000
VGEN RESCUE SODIMM DDR4 8GB,Rp311.000
VGEN RESCUE SODIMM DDR4 16GB,Rp514.000
VGEN PLATINUM SODIMM DDR4 8GB,Rp339.000
VGEN PLATINUM SODIMM DDR4 16GB,Rp555.000
CORSAIR SODIMM DDR4 16GB,Rp850.000
TEAM ELITE SODIMM DDR4 PC25600 16GB,Rp599.000
TEAM ELITE SODIMM DDR4 PC25600 8GB,Rp354.000
VGEN RESCUE SODIMM DDR4 8GB,Rp290.000
VENOMRX SODIMM DDR4 PC21000 8GB,Rp252.000
KLEVV SODIMM DDR4 VALUE SERIES PC21300 2666MHZ 16GB,Rp524.000
KINGSTON SODIMM DDR4 4GB,Rp256.000
VGEN PLATINUM SODIMM DDR4 16GB,Rp524.000
APACER SODIMM DDR4 PC21000 2666MHZ 4GB,Rp216.000
VGEN RESCUE SODIMM DDR4 8GB,Rp290.000
