Nama,Harga
SANDISK EXTREME PRO PORTABLE SSD E81 V2 2TB USB,Rp3.936.000
SSD LEXAR NM620 NVME M2 PCIE GEN 3X4 512GB,Rp813.000
CORSAIR MP600 ELITE 2TB M2 NVME PCIE GEN 4X4,Rp3.136.000
CRUCIAL X10 PRO PORTABLE SSD 1TB USB GEN2X2,Rp2.201.000
MSI SPATIUM M482 M2 NVME PCIE GEN 4X4 2TB,Rp2.332.000
PNY ELITE X G2 PORTABLE SSD 4TB USB GEN2X2,Rp4.162.000
SAMSUNG SSD 990 PRO M2 PCIE GEN 4X4 4TB MZ V9P4T0BW,Rp6.613.000
TEAM T CREATE CLASSIC DL SSD 1TB M2 NVME PCIE GEN 4X4,Rp1.100.000
TRANSCEND TS512GMTE400S NVME PCIE GEN 3X4 M2 2242 512GB,Rp1.027.000
V GEN SSD M2 NVME PCIE GEN 4X4 2TB,Rp2.780.000
WDC BLACK SN770M SSD 2TB M2 2230 NVME PCIE GEN 4X4,Rp3.670.000
WDC BLACK SN850X SSD 2TB M2 NVME PCIE GEN 4X4 WITH HEATSINK,Rp3.547.000
TRANSCEND ESD360C 4TB PORTABLE SSD USB,Rp6.603.000
CRUCIAL T700 SSD 2TB M2 2280 PCIE GEN 5X4 HEATSINK,Rp6.459.000
SAMSUNG SSD NVME PM9A1 512GB VL2512HCJQ,Rp1.283.000
TEAM T FORCE VULCAN Z SSD 256GB SATA3,Rp396.000
TEAM T FORCE VULCAN Z SSD 512GB SATA3,Rp565.000
PNY CS2142 M2 2230 NVME PCIE GEN 4X4 2TB,Rp2.775.000
CRUCIAL T500 SSD 1TB M2 2280 PCIE GEN 4X4,Rp1.930.000
MSI SPATIUM S270 SSD 960GB SATA3,Rp1.116.000
WD MY PASSPORT SSD 4TB,Rp5.030.000
SAMSUNG SSD 990 EVO M2 PCIE GEN5.0 2TB MZ V9E2T0B,Rp3.239.000
SAMSUNG SSD 990 EVO M2 PCIE GEN5.0 1TB MZ V9E1T0B,Rp1.950.000
CORSAIR MP600 ELITE 1TB M2 NVME PCIE GEN 4X4,Rp1.794.000
SEAGATE FIRECUDA 520N SSD 2TB M2 2230 PCIE GEN 4X4,Rp3.998.000
SEAGATE FIRECUDA 520N SSD 1TB M2 2230 PCIE GEN 4X4,Rp2.546.000
TRANSCEND 225S 2TB SSD SATA3,Rp2.530.000
TRANSCEND 225S 1TB SSD SATA3,Rp1.382.000
TRANSCEND ESD300C 2TB PORTABLE SSD USB TYPE C,Rp3.224.000
TRANSCEND ESD300C 1TB PORTABLE SSD USB TYPE C,Rp1.679.000
TRANSCEND ESD300C 512GB PORTABLE SSD USB TYPE C,Rp967.000
V GEN SSD M2 NVME PCIE GEN 3X4 2TB,Rp2.488.000
TRANSCEND ESD310C 1TB PORTABLE SSD USB,Rp1.700.000
KINGSTON XS1000 PORTABLE SSD 2TB USB,Rp2.055.000
ADATA SSD SU650 2TB SATA 3,Rp2.180.000
MSI SPATIUM M570 PRO FROZR M2 NVME GEN 5X4 2TB HEATSINK,Rp4.624.000
WDC BLUE SN580 SSD 250GB M2 NVME PCIE GEN 4X4,Rp724.000
TRANSCEND ESD265C 2TB PORTABLE SSD USB,Rp3.449.000
TRANSCEND ESD265C 1TB PORTABLE SSD USB,Rp1.919.000
TRANSCEND ESD265C 500GB PORTABLE SSD USB,Rp1.163.000
TRANSCEND ESD300P 2TB PORTABLE SSD USB TYPE C,Rp3.224.000
TRANSCEND ESD300P 1TB PORTABLE SSD USB TYPE C,Rp1.679.000
TRANSCEND ESD300P 512GB PORTABLE SSD USB TYPE C,Rp970.000
TRANSCEND ESD300S 2TB PORTABLE SSD USB TYPE C,Rp3.224.000
TRANSCEND ESD300S 1TB PORTABLE SSD USB TYPE C,Rp1.679.000
TRANSCEND ESD300S 512GB PORTABLE SSD USB TYPE C SILVER,Rp970.000
MSI SPATIUM S270 SSD 480GB SATA3,Rp625.000
PNY CS900 SERIES 2TB,Rp1.951.000
ADATA SE880 500GB USB EXTERNAL SSD,Rp920.000
PNY ELITE X G2 CS2360 PORTABLE SSD 1TB USB GEN 2X2,Rp1.679.000
V GEN SSD M2 NVME PCIE GEN 4X4 1TB,Rp1.371.000
CORSAIR MP600 PRO NH 500GB M2 NVME PCIE GEN 4X4,Rp1.246.000
ADATA LEGEND 960 2TB NVME PCIE GEN 4X4,Rp2.635.000
WDC BLACK SN850X SSD 1TB M2 NVME PCIE GEN 4X4 WITH HEATSINK,Rp2.144.000
V GEN SSD M2 NVME PCIE GEN 3X4 1TB,Rp1.246.000
KINGSTON XS1000 PORTABLE SSD 1TB USB,Rp1.298.000
ADATA SE760 2TB USB EXTERNAL SSD,Rp1.877.000
TRANSCEND ESD310P 1TB PORTABLE SSD USB,Rp1.700.000
TRANSCEND ESD310P 512GB PORTABLE SSD USB,Rp985.000
WDC BLUE SN580 SSD 1TB M2 NVME PCIE GEN 4X4,Rp1.486.000
WDC BLUE SN580 SSD 500GB M2 NVME PCIE GEN 4X4,Rp980.000
PNY CS2241 SERIES M2 2280 NVME PCIE GEN 4X4 4TB,Rp3.962.000
TRANSCEND ESD310S 512GB PORTABLE SSD USB,Rp985.000
V GEN SSD M2 NVME PCIE GEN 3X4 512GB,Rp730.000
TRANSCEND TS4TMTE250H NVME PCIE GEN 4X4 4TB,Rp5.911.000
PNY CS900 SERIES 250G,Rp385.000
CRUCIAL BX500 SSD 2TB 3D NAND SATA3,Rp2.426.000
MSI SPATIUM M480 PRO M2 NVME PCIE GEN 4X4 4TB,Rp6.101.000
TRANSCEND NVME PCIE GEN 3X4 M2 2230 1TB,Rp1.805.000
ADATA SSD SU650 1TB SATA 2I,Rp1.069.000
TEAM Z44A5 1TB M2 PCIE GEN 4X4,Rp1.314.000
MSI SPATIUM M461 M2 NVME PCIE GEN 4X4 4TB,Rp5.393.000
WDC GREEN SN350 SSD 250GB M2 NVME PCIE GEN 3X4,Rp568.000
TRANSCEND ESD380C 2TB PORTABLE SSD USB,Rp3.295.000
ORICO M2R2 G2 RGB GAMING TYPE C M2 NVME SSD ENCLOSURE 10GBPS,Rp465.000
MSI SPATIUM M480 PRO M2 NVME PCIE GEN 4X4 2TB,Rp2.801.000
MSI SPATIUM M480 PRO M2 NVME PCIE GEN 4X4 1TB,Rp1.591.000
