Nama,Harga
PNY GEFORCE RTX 3050 6GB GDDR6 VERTO DUAL FAN,Rp3.059.000
ZOTAC GEFORCE RTX 4070 SUPER 12GB GDDR6X TWIN EDGE OC,Rp10.069.000
GIGABYTE GEFORCE RTX 3050 6GB GDDR6 WINDFORCE OC,Rp3.269.000
IGAME GEFORCE RTX 4060 8GB GDDR6 LOONG EDITION OC,Rp6.059.000
COLORFUL GEFORCE GT 1030 2GB DDR5,Rp1.210.000
GALAX GEFORCE RTX 4070 SUPER 12GB GDDR6X 2X V2,Rp11.545.000
GALAX GEFORCE RTX 4060 8GB GDDR6 2X V2,Rp5.282.000
GIGABYTE GEFORCE RTX 4060 8GB GDDR6 OC,Rp6.529.000
ASUS GEFORCE RTX 4070 12GB GDDR6X,Rp10.408.000
ASUS GEFORCE RTX 4070 SUPER 12GB GDDR6X,Rp12.120.000
ASUS GEFORCE RTX 4070 TI SUPER 16GB GDDR6X,Rp18.254.000
ARKTEK GEFORCE RTX 3060 12GB GDDR6 HYPERION,Rp4.625.000
ASUS GEFORCE RTX 4070 TI SUPER 16GB GDDR6X,Rp18.398.000
ASUS GEFORCE RTX 4060 TI SSD 8GB GDDR6,Rp7.730.000
ASUS GEFORCE RTX 4070 TI 12GB GDDR6X,Rp14.111.000
IGAME GEFORCE RTX 3090 24GB GDDR6X KUDANV,Rp29.701.000
GIGABYTE RTX 4090 24GB GDDR6X WINDFORCE V2N4090WF3V2,Rp33.125.000
PNY RTX 4080 SUPER 16GB GDDR6X XLR8 GAMING VERTO EPICX RGB OC,Rp18.890.000
MSI GEFORCE RTX 4060 TI 8GB GDDR6,Rp7.680.000
POWERCOLOR RADEON RX 7600 XT 16GB GDDR6 HELLHOUND,Rp6.213.000
IGAME GEFORCE RTX 4070 TI SUPER 16GB GDDR6X VULCAN W OC,Rp19.125.000
IGAME GEFORCE RTX 4080 SUPER 16GB GDDR6X VULCAN W OC,Rp22.130.000
IGAME GEFORCE RTX 4080 SUPER 16GB GDDR6X NEPTUNE OC,Rp21.125.000
ASUS GEFORCE RTX 3050 6GB GDDR6,Rp3.449.000
COLORFUL GEFORCE RTX 4060 8GB GDDR6 NB DUOV,Rp5.229.000
PALIT GEFORCE RTX 3050 6GB GDDR6 STORMX,Rp2.945.000
GIGABYTE GEFORCE RTX 3050 6GB GDDR6 EAGLE OC,Rp3.330.000
PNY GEFORCE RTX 4080 SUPER 16GB GDDR6X VERTO OC,Rp18.370.000
PNY GEFORCE RTX 4070 TI SUPER 16GB GDDR6X XLR8 VERTO EPICX RGB OC,Rp14.335.000
PNY GEFORCE RTX 4070 TI SUPER 16GB GDDR6X VERTO OC,Rp13.699.000
PNY GEFORCE RTX 4070 SUPER 12GB GDDR6X XLR8 GAMING VERTO EPICX RGB OC,Rp11.299.000
PNY GEFORCE RTX 4070 SUPER 12GB GDDR6X VERTO OC,Rp11.029.000
MSI GEFORCE RTX 4070 SUPER 12GB GDDR6X,Rp11.829.000
PALIT GEFORCE RTX 4070 TI SUPER 16GB GDDR6X JETSTREAM OC,Rp14.169.000
GIGABYTE RTX 4070 TI SUPER 16GB GAMING OC,Rp16.290.000
GALAX GEFORCE RTX 4070 TI SUPER 16GB GDDR6X SG,Rp15.787.000
ZOTAC GEFORCE RTX 4060 TI 16GB GDDR6 AMP,Rp7.119.000
ASUS GEFORCE RTX 4070 TI SUPER 16GB GDDR6X,Rp16.183.000
MSI GEFORCE RTX 4070 TI SUPER 16GB GDDR6X,Rp17.115.000
MSI GEFORCE RTX 4070 TI SUPER 16GB GDDR6X,Rp16.171.000
