Nama,Harga
VGA CARD DIGITAL ALLIANCE NVIDIA GEFORCE GT 730 4GB GDDR3 128bit,Rp530.000
NVIDIA GeForce RTX 2060 Graphics Card GPU VGA,Rp2.579.000
INNO3D GEFORCE RTX 3050 TWIN X2 8GB,Rp3.547.000
 VGA Digital Alliance NVIDIA Geforce GT 610 2GB DDR3 64 Bit,Rp303.000
GPU NVIDIA GeForce RTX 3060 Ti VGA,Rp4.279.000
VGA GTS 450 1GB 128BIT DDR5 MAGIX ORIGINAL,Rp225.000
ZOTAC GAMING GeForce RTX 4070 SUPER 12GB Twin Edge OC ,Rp9.967.000
SAPPHIRE AMD Radeon RX 7800 XT PULSE 16GB GDDR6,Rp9.380.000
PNY GeForce GTX 1660 Ti 1660Ti XLR8 Gaming 6GB GDDR6 192-Bit VGA ONLY,Rp1.849.999
 ZOTAC GAMING GeForce RTX 3050 6GB Solo,Rp2.882.000
VGA GT 730 2GB 128 BIT DDR3 ORIGINAL MAGIX,Rp395.000
VGA AMD Sapphire Radeon RX 6700 XT/ RX 6700XT 12GB GDDR6 PULSE,Rp3.799.999
VGA GTX 550 TI 1GB 128BIT DDR5 MAGIX ORIGINAL,Rp375.000
PowerColor Radeon RX 7800 XT 16GB Hellhound,Rp9.187.000
POWERCOLOR RX 6500 XT FIGHTER 4GB GDDR6,Rp2.210.000
Rexus HD200 HDMI 4K Game Video Capture Card Stream Record HD 200,Rp1.435.000
Zotac GTX 1650 AMP CORE 4GB DDR6,Rp2.095.000
VGA VENOMRX GTX 750 TI 4GB DDR5 128bit - VenomRX Geforce GTX 750 Ti,Rp1.060.000
VGA Intel ARC A750 Limited Edition 8GB - 8 GB GDDR6,Rp3.845.000
VGA GALAX GeForce RTX 4060 8GB 1-Click OC 2X 8GD6 | RTX4060 8GB GDDR6,Rp5.293.000
POWERCOLOR RADEON RX 7600 FIGHTER 8GB GDDR6,Rp4.340.000
BARU RBK g g2 gk2 tenet ,Rp25.000
R B K Xlim 0.8,Rp18.000
ASROCK Intel ARC A380 CHALLENGER ITX 6GB OC GDDR6,Rp1.990.000
ASUS DUAL Radeon RX 6600 8GB GDDR6,Rp3.527.000
GPD G1 2024  Graphics Card Expansion Dock eGPU RX 7600M XT UPDATED,Rp11.499.000
ASROCK Intel ARC A380 6GB GDDR6 LP - Low Profile,Rp1.995.000
SAPPHIRE Radeon RX 7600 PULSE 8GB OC GDDR6,Rp4.690.000
VGA Digital Alliance Geforce GT 610 2GB DDR3,Rp305.000
ASUS Dual Radeon RX 7600 XT 16GB OC Edition,Rp5.904.000
PowerColor Radeon RX 7700 XT 12GB GDDR6 Hellhound,Rp7.690.000
VGA RX7 GT 610 LP 2GB DDR3 64 BIT REAL CAPACITY RESMI,Rp310.000
Sapphire PULSE Radeon RX 7600 XT 16GB GDDR6 Gaming OC,Rp5.939.000
R.B.K G/GK2 0.8,Rp18.000
VGA POWERCOLOR RX 6600XT 8GB 2ND,Rp2.550.000
TARASQ VGA RX 580 8GB VGA Card DDR5 256Bit 2048SP GARANSI RESMI V1,Rp1.230.000
VGA RX 6600, LIKE NEW, ADEM, BERGARANSI,Rp2.499.999
VGA Midasforce Nvidia GT730 DDR3 128 bit 4GB LP Garansi 2 Tahun,Rp600.000
VGA NVIDIA GT 730 2GB DDR3 128BIT  g force,Rp475.000
VGA RX 6600 XT SAPPHIRE NITRO +, KENCANG, MULUS, MURAH ,Rp3.150.000
ZOTAC GAMING Nvidia GeForce RTX 4070 SUPER Twin Edge OC 12GB GDDR6X ,Rp9.888.000
VGA r5 240 1gb DDR3 64 bit low fropil copotan BUILUP MANTUL GARANSI,Rp185.000
ZOTAC GAMING GeForce RTX 4060 8GB Twin Edge OC,Rp4.900.000
GALAX GeForce RTX 3050 6GB GDDR6 EX (1-Click OC) - DUAL FAN,Rp3.257.000
